Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;1;TLS e SSL - Parte 01;38:06
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;2;TLS e SSL - Parte 02;18:15
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;3;TLS e SSL - Parte 03;22:45
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;4;TLS e SSL - Parte 04;21:14
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;5;TLS e SSL - Parte 05;11:25
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;6;IPSEC - IP SECURITY PROTOCOL - Parte 01;22:33
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;7;IPSEC - IP SECURITY PROTOCOL - Parte 02;39:45
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;8;IPSEC - IP SECURITY PROTOCOL - Parte 03;24:23
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;9;IPSEC - IP SECURITY PROTOCOL - Parte 04;26:57
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;10;VPN - Parte 01;17:24
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;11;VPN - Parte 02;41:57
Aula 02;Mecanismos de Segurança da Informação: SSL/TLS - IPSEC - VPN;12;DEEP/DARK WEB E REDE TOR;33:06
Aula 03;"Ataques a Redes de Computadores; Malwares;";1;Introdução a ataques de Redes - Parte 01;34:01
Aula 03;"Ataques a Redes de Computadores; Malwares;";2;Introdução a ataques de Redes - Parte 02;28:31
Aula 03;"Ataques a Redes de Computadores; Malwares;";3;Falsificação de E-mail;10:54
Aula 03;"Ataques a Redes de Computadores; Malwares;";4;Man in the Middle - MITM;14:12
Aula 03;"Ataques a Redes de Computadores; Malwares;";5;ARP Spoofing ou Arp Poisoning;13:45
Aula 03;"Ataques a Redes de Computadores; Malwares;";6;Ataque SMURF;06:08
Aula 03;"Ataques a Redes de Computadores; Malwares;";7;Interceptação de Tráfego - Sniffing;07:46
Aula 03;"Ataques a Redes de Computadores; Malwares;";8;Força Bruta;33:23
Aula 03;"Ataques a Redes de Computadores; Malwares;";9;Defacement;08:36
Aula 03;"Ataques a Redes de Computadores; Malwares;";10;Phishing e Pharming;25:32
Aula 03;"Ataques a Redes de Computadores; Malwares;";11;Negação de Serviço - DOS e DDOS;32:31
Aula 03;"Ataques a Redes de Computadores; Malwares;";12;SPIM (SPAM OVER INSTANT MESSAGE);07:43
Aula 03;"Ataques a Redes de Computadores; Malwares;";13;Engenharia Social;13:16
Aula 03;"Ataques a Redes de Computadores; Malwares;";14;Ransomware;22:41
Aula 03;"Ataques a Redes de Computadores; Malwares;";15;Malwares;08:59
Aula 03;"Ataques a Redes de Computadores; Malwares;";16;Malwares - Vírus;25:24
Aula 03;"Ataques a Redes de Computadores; Malwares;";17;Malwares - Worms;05:29
Aula 03;"Ataques a Redes de Computadores; Malwares;";18;Malwares - Spyware;23:50
Aula 03;"Ataques a Redes de Computadores; Malwares;";19;Trojan Horse - Cavalo de Tróia;07:46
Aula 03;"Ataques a Redes de Computadores; Malwares;";20;BackDoor;09:53
Aula 03;"Ataques a Redes de Computadores; Malwares;";21;Rootkit;16:39
Aula 03;"Ataques a Redes de Computadores; Malwares;";22;Bot e Botnet;12:29
Aula 03;"Ataques a Redes de Computadores; Malwares;";23;Bomba Lógica;02:44
Aula 03;"Ataques a Redes de Computadores; Malwares;";24;Resumo de Malwares;09:12
Aula 03;"Ataques a Redes de Computadores; Malwares;";25;Ataques na Camada de Aplicação;14:00
Aula 03;"Ataques a Redes de Computadores; Malwares;";26;XSS - Cross-Site-Scripting;31:26
Aula 03;"Ataques a Redes de Computadores; Malwares;";27;CSRF-Cross-Site-Request Forgery;10:03
Aula 03;"Ataques a Redes de Computadores; Malwares;";28;SSRF - Server-Side-Request Forgery;14:53
Aula 03;"Ataques a Redes de Computadores; Malwares;";29;Clickjacking;08:40
Aula 03;"Ataques a Redes de Computadores; Malwares;";30;SQL Injection;10:38
Aula 03;"Ataques a Redes de Computadores; Malwares;";31;Vulnerabilidade Dia Zero zero Day Vulnerability;11:51
Aula 03;"Ataques a Redes de Computadores; Malwares;";32;Buffer Overflow;09:33
Aula 03;"Ataques a Redes de Computadores; Malwares;";33;Complementos Maliciosos;05:42
Aula 03;"Ataques a Redes de Computadores; Malwares;";34;Ameaça Persitente Avançada (APT);13:36
Aula 03;"Ataques a Redes de Computadores; Malwares;";35;Ataques a Redes Sem Fio;13:55
Aula 03;"Ataques a Redes de Computadores; Malwares;";36;OWASS TOP 10 (Introdução);21:09
Aula 03;"Ataques a Redes de Computadores; Malwares;";37;OWASP TOP 10 (Quebra de Controle de Acesso);16:54
Aula 03;"Ataques a Redes de Computadores; Malwares;";38;OWASP TOP 10 (Falhas Criptográficas);28:28
Aula 03;"Ataques a Redes de Computadores; Malwares;";39;OWASP TOP 10 (Injeção);13:59
Aula 03;"Ataques a Redes de Computadores; Malwares;";40;OWASP TOP 10 (Design Inseguro - New);10:59
Aula 03;"Ataques a Redes de Computadores; Malwares;";41;OWASP TOP 10 (Configuração Incorreta de Segurança);13:57
Aula 03;"Ataques a Redes de Computadores; Malwares;";42;OWASP TOP 10 (Componentes Vulneráveis e Desatualizados);11:38
Aula 03;"Ataques a Redes de Computadores; Malwares;";43;OWASP top 10 - A7:2021;28:58
Aula 03;"Ataques a Redes de Computadores; Malwares;";44;OWASP top 10 - A8:2021;08:24
Aula 03;"Ataques a Redes de Computadores; Malwares;";45;OWASP top 10 - A9:2021;10:02
Aula 03;"Ataques a Redes de Computadores; Malwares;";46;OWASP top 10 - A10:2021;14:02
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";1;Criptografia - Parte 01;16:43
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";2;Criptografia - Parte 02;20:32
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";3;Criptografia - Parte 03;18:25
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";4;Criptografia - Parte 04;20:58
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";5;Criptografia - Parte 05;12:28
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";6;Criptografia - Parte 06;07:47
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";7;Criptografia - Parte 07;05:15
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";8;Criptografia - Parte 08;22:54
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";9;Criptografia Simétrica;36:52
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";10;DES;27:58
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";11;3 - DES;13:30
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";12;RC - Rivest Cipher;12:11
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";13;AES - Advanced Encrypton Standard;31:17
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";14;Criptografia Assimétrica;35:19
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";15;DIFFIE-HELLMAN - DH;18:54
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";16;RIVEST, SHAMIR AND ADELMAN;22:42
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";17;El Gamal;03:21
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";18;OTP - One-Time Pad;08:58
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";19;Funções Hash - Parte 01;25:48
Aula 04;"Criptografia - Parte I - Técnicas de Cifragem; Algoritmos de criptografia simétricas e assimétricas; Funções HASH";20;Funções Hash - Parte 02;28:19
Aula 05;Criptografia - Parte II - Assinatura Digital e Certificado Digital;1;Assinatura Digital e Certificação Digital - Parte 01;25:48
Aula 05;Criptografia - Parte II - Assinatura Digital e Certificado Digital;2;Assinatura Digital e Certificação Digital - Parte 02;29:07
Aula 05;Criptografia - Parte II - Assinatura Digital e Certificado Digital;3;Infraestrutura de Chaves Públicas - ICP;31:07
Aula 05;Criptografia - Parte II - Assinatura Digital e Certificado Digital;4;Protocolo de Gerenciamento;15:42
Aula 05;Criptografia - Parte II - Assinatura Digital e Certificado Digital;5;ICP - Brasil;40:22
Aula 06;Backup e RAID;1;RAID - Parte 01;21:35
Aula 06;Backup e RAID;2;RAID - Parte 02;37:58
Aula 06;Backup e RAID;3;RAID - Parte 03;34:51
Aula 06;Backup e RAID;4;RAID - Parte 04;29:45
Aula 06;Backup e RAID;5;Tecnologias de Backup - Parte 01;25:13
Aula 06;Backup e RAID;6;Tecnologias de Backup - Parte 02;54:10
Aula 06;Backup e RAID;7;Tecnologias de Backup - Parte 03;13:51
Aula 06;Backup e RAID;8;Ferramentas de Backup;23:21
Aula 06;Backup e RAID;9;Deduplicação;29:46
Aula 07;"DAS,NAS e SAN; Técnicas de Deduplicação; Information Lifecycle Management - ILM";1;DAS;18:48
Aula 07;"DAS,NAS e SAN; Técnicas de Deduplicação; Information Lifecycle Management - ILM";2;NAS;23:10
Aula 07;"DAS,NAS e SAN; Técnicas de Deduplicação; Information Lifecycle Management - ILM";3;SAN - Parte 01;23:58
Aula 07;"DAS,NAS e SAN; Técnicas de Deduplicação; Information Lifecycle Management - ILM";4;SAN - Parte 02;28:19
Aula 07;"DAS,NAS e SAN; Técnicas de Deduplicação; Information Lifecycle Management - ILM";5;SAN - Parte 03;21:56
Aula 07;"DAS,NAS e SAN; Técnicas de Deduplicação; Information Lifecycle Management - ILM";6;SAN - Parte 04;44:08
Aula 08;"QoS e Mídia; H.323 e SIP;";1;QoS;56:57
Aula 08;"QoS e Mídia; H.323 e SIP;";2;Noções Gerais - Parte 01;26:12
Aula 08;"QoS e Mídia; H.323 e SIP;";3;Noções Gerais - Parte 02;28:55
Aula 08;"QoS e Mídia; H.323 e SIP;";4;Redes Multimídia e Seus Protocolos/serviços;24:10
Aula 08;"QoS e Mídia; H.323 e SIP;";5;Tipos fontes das mídias - Parte 01;15:16
Aula 08;"QoS e Mídia; H.323 e SIP;";6;Tipos fontes das mídias - Parte 02;54:06
Aula 08;"QoS e Mídia; H.323 e SIP;";7;Tipos de Tecnologia;12:15
Aula 08;"QoS e Mídia; H.323 e SIP;";8;VoIP;28:18
Aula 08;"QoS e Mídia; H.323 e SIP;";9;SIP;30:32
Aula 08;"QoS e Mídia; H.323 e SIP;";10;H.323;12:54
Aula 08;"QoS e Mídia; H.323 e SIP;";11;QoS - Redes Multimidia - H.323- Parte 01;14:52
Aula 08;"QoS e Mídia; H.323 e SIP;";12;QoS - Redes Multimidia - H.323 - Parte 02;24:28
Aula 08;"QoS e Mídia; H.323 e SIP;";13;MGCP- Media Gateway Control Protocol;10:23
Aula 09;Cloud Computing;1;Computação na Nuvem: Cluster, Grid e Balanceamento de Carga;37:39
Aula 09;Cloud Computing;2;Computação em Nuvem: Cloud Computing - Parte 01;15:27
Aula 09;Cloud Computing;3;Computação em Nuvem: Cloud Computing - Parte 02;29:00
Aula 09;Cloud Computing;4;Computação em Nuvem: Cloud Computing - Parte 03;32:41
Aula 09;Cloud Computing;5;Arquiteturas de Cloud;01:05:24
Aula 09;Cloud Computing;6;Workloads e seus tipos;46:36
Aula 09;Cloud Computing;7;Estratégias de Migração;18:28
Aula 09;Cloud Computing;8;Computação em Nuvem (cloud Computing) - Principais Serviços;43:56
Aula 09;Cloud Computing;9;Computação em Nuvem (cloud Computing) - Azure;56:38
Aula 09;Cloud Computing;10;Computação em Nuvem - Infrastructure as Code - IaC;32:21
Aula 09;Cloud Computing;11;Computação em Nuvem - Serveles e Plataformas de Gerenciamento de Infraestrutura;01:10:08
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;1;X.500;21:11
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;2;LDAP - Parte 01;33:09
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;3;LDAP - Parte 02;20:21
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;4;LDAP - Parte 03;17:51
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;5;Active Directory - Parte 01;56:46
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;6;Active Directory - Parte 02;24:24
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;7;Serviços de Autenticação Radius;12:53
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;8;Serviços de Autenticação - Tacacs;07:56
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;9;Serviços de Autenticação - Kerberos;19:43
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;10;NFS;24:48
Aula 10;X.500 e LDAP / NFS, SAMBA e CIFS;11;CIFS;11:31
Aula 11;ISO 27001 e 27002;1;ISO 27001/2022 - Parte 01;17:43
Aula 11;ISO 27001 e 27002;2;ISO 27001/2022 - Parte 02;34:32
Aula 11;ISO 27001 e 27002;3;ISO 27002/2022 - Parte 02 - Controle Organizacionais - 5.1 a 5.6;39:24
Aula 11;ISO 27001 e 27002;4;ISO 27002/2022 - Parte 03 - Controle Organizacionais - 5.7 a 5.12;51:23
Aula 11;ISO 27001 e 27002;5;ISO 27002/2022 - Parte 04 - Controle Organizacionais - 5.15 a 5.18;49:41
Aula 11;ISO 27001 e 27002;6;ISO 27002/2022 - Parte 05 - Controle Organizacionais - 5.19 a 5.22;21:08
Aula 11;ISO 27001 e 27002;7;ISO 27002/2022 - Parte 06 - Controle Organizacionais - 5.23;25:31
Aula 11;ISO 27001 e 27002;8;ISO 27002/2022 - Parte 07 - Controle Organizacionais - 5.24 a 5.28;21:15
Aula 11;ISO 27001 e 27002;9;ISO 27002/2022 - Parte 08 - Controle Organizacionais - 5.29 a 5.30;10:52
Aula 11;ISO 27001 e 27002;10;ISO 27002/2022 - Parte 09 - Controle Organizacionais - 5.31 a 5.34;17:28
Aula 11;ISO 27001 e 27002;11;ISO 27002/2022 - Parte 10 - Controle Organizacionais - 5.35 a 5.37;07:55
Aula 11;ISO 27001 e 27002;12;ISO 27002/2022 - Parte 11 - Controles de Pessoas - 6.1 a 6.8;33:23
Aula 11;ISO 27001 e 27002;13;ISO 27002/2022 - Parte 12 - Controles Físicos - 7.1 a 7.2;19:42
Aula 11;ISO 27001 e 27002;14;ISO 27002/2022 - Parte 13 - Controles Tecnológicos - 8.6 a 8.7;32:12
Aula 11;ISO 27001 e 27002;15;ISO 27002/2022 - Parte 14 - Controles Tecnológicos - 8.8 a 8.12;41:18
Aula 11;ISO 27001 e 27002;16;ISO 27002/2022 - Parte 15 - Controles Tecnológicos - 8.13 a 8.17;32:30
Aula 11;ISO 27001 e 27002;17;ISO 27002/2022 - Parte 16 - Controles Tecnológicos - 8.18 a 8.24;31:58
Aula 11;ISO 27001 e 27002;18;ISO 27002/2022 - Parte 17 - Controles Tecnológicos - 8.25 a 8.34;21:46
Aula 11;ISO 27001 e 27002;19;ISO 27002/2022 - Revisão;34:40
Aula 11;ISO 27001 e 27002;20;Rotulagem de Informações;12:29
Aula 11;ISO 27001 e 27002;21;Segurança de Escritórios, Salas e Instalações;01:06:43
Aula 11;ISO 27001 e 27002;22;Serviços de Infraestrutura;15:07
Aula 11;ISO 27001 e 27002;23;ISO 27002/2022 - Parte 13 - Controles Tecnológicos - 8.1 a 8.5;37:20
Aula 12;ISO 27005 e PCN;1;Introdução - ISO 27005;43:13
Aula 12;ISO 27005 e PCN;2;Definição do Contexto;13:48
Aula 12;ISO 27005 e PCN;3;Processo de Avaliação de Riscos de Segurança da Informação - Parte 01;41:05
Aula 12;ISO 27005 e PCN;4;Processo de Avaliação de Riscos de Segurança da Informação - Parte 02;20:03
Aula 12;ISO 27005 e PCN;5;Tratamento do Risco de segurança da informação;19:50
Aula 12;ISO 27005 e PCN;6;"Aceitação do Risco; Comunicação do Risco; e Monitoramento e Análise Crítica";16:40
Aula 12;ISO 27005 e PCN;7;Plano de Continuidade de Negócios - Conceitos Gerais - Parte 01;26:32
Aula 12;ISO 27005 e PCN;8;Plano de Continuidade de Negócios - Conceitos Gerais - Parte 02;47:40
Aula 12;ISO 27005 e PCN;9;Plano de Continuidade de Negócios - Conceitos Gerais - Parte 03;21:44
Aula 12;ISO 27005 e PCN;10;ISO 22301;48:10
