Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";4;Protocolo Snmp - Estrutura (pdu-tipos de Mensagens) - Parte 03;18:48
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";5;Protocolo Snmp - Estrutura (versões) - Parte 04;26:02
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";6;Protocolo Snmp - Estrutura (usmxtsm);20:30
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";7;Protocolo Snmp - Mib - Tipos;19:46
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";8;Protocolo Snmp - Estrutura do Pacote;25:11
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";9;Protocolo Snmp - Rmon;12:54
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";10;CACTI;08:21
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";11;Zabbix;41:26
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";12;NAGIOS;22:13
Aula 10;"Gerenciamento de Redes - SNMP, MIB, SNI; Ferramentas de gerenciamento (Zabbix, Cacti, etc)";13;NetFlow;07:34
Aula 11;"Roteamento - Protocolos de Roteamento Estáticos e Dinâmicos; VRRP;";1;Protocolos de Roteamento;59:14
Aula 11;"Roteamento - Protocolos de Roteamento Estáticos e Dinâmicos; VRRP;";2;RIP ( Routing Information Protocoo) - V1 e V2;39:32
Aula 11;"Roteamento - Protocolos de Roteamento Estáticos e Dinâmicos; VRRP;";3;OSPF - Open Shortest Path First;47:59
Aula 11;"Roteamento - Protocolos de Roteamento Estáticos e Dinâmicos; VRRP;";4;Protocolos de Roteamento BGP - Border Gateway Protocol;40:11
Aula 11;"Roteamento - Protocolos de Roteamento Estáticos e Dinâmicos; VRRP;";5;Protocolos de Roteamento Outros protocolos;14:15
Aula 12;Monitoramento de Tráfego/Análise de Protocolos/Ferramentas de Análise (Wireshark e TCPDUMP);1;Análise de Tráfego - Parte 01;35:03
Aula 12;Monitoramento de Tráfego/Análise de Protocolos/Ferramentas de Análise (Wireshark e TCPDUMP);2;Análise de Tráfego - Parte 02;54:32
Aula 12;Monitoramento de Tráfego/Análise de Protocolos/Ferramentas de Análise (Wireshark e TCPDUMP);3;Análise de Tráfego - Parte 03;56:52
